Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Location,1. What is your home zip code?,2. What brings you to Arthur Ave today?,,,,,,,,,3. If shopping/dining/visiting business - Did you specifically come to Arthur Ave to shop/dine/visit business or are you on your way to/from somewhere else?,4. How often do you visit the Little Italy neighborhood?,5. How did you get to Arthur Ave today?,,"6a. If bus, which bus lines do you use to get to or travel around the Arthur Ave area? (Enter all bus lines separated by commas)","6b. If bus, On a scale of 1-5 where 1 is very dissatisfied and 5 is very satisfied, how would you rate your bus trip today?","6c. If bus, what was the biggest issue with your bus ride today?",,"7a. If personal car, did you experience any difficulty finding parking on/around Arthur Avenue?","7b. If personal car, how long did it take you to find a spot?","7c. If personal car, about how many blocks away from your destination did you park?","7d. If personal car, did you pay to park?","7e. If personal car, how long will you be parked for?","7f. Specific to the Fordham Rd area, do you think a short-term parking zone (such as 30 mins or less) on or adjacent to Fordham Rd would be useful for quick errands or passenger pickup/drop-off?",,"8a. If personal car, dropped off or Taxis/ FHV, would you be more likely to take transit if bus speeds and reliability improved around the Arthur Ave area?","8b. If personal car, what would encourage you to use public transit for this trip?","9. Do you experience any pain points, obstacles or other transportation related challenges traveling in this neighborhood? If yes, please tell us what they are:","10. Would you support a busway along a portion Fordham Rd, between Jerome Ave and Webster Ave, that prioritizes buses and trucks by limiting thru traffic (local access and parking for private vehicles would still be allowed)? Most busways offer transit and freight priority, allowing buses and trucks to travel along the entire corridor. For other vehicles, such as taxis and cars, travel through the busway corridor is restricted, but general traffic are still allowed to enter for local access – meaning cars can enter for loading, picking up, and dropping off customers. Newly added parking spaces may also be included in some portions of the busway where the bus lane currently exists.",*11. How do you identify in terms of gender? (Select all that apply),,,,,,,*12. How do you identify in terms of race/ethnicity? (Select all that apply),,,,,,,,,,*13. What is your age? (Enter 0 if they prefer not to say),Additional Comments:
1.14288E+11,425087348,2023-04-06 13:33:17,2023-04-06 13:34:17,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,1 hour 20 mins,,,,,,,,,,,,,,Aggresive drivers while biking,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:32:17,2023-04-06 13:33:17,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,1 hour 20 mins ,,,,,,,,,,,,,,Aggresive drivers when biking ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:32:05,2023-04-06 13:33:09,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:31:30,2023-04-06 13:32:17,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,1.20 mins,,,,,,,,,,,,,,Aggressive drivers when biking,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:30:49,2023-04-06 13:32:04,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers when they were biking ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:30:49,2023-04-06 13:31:29,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,,,,,,,,,,,,,,,Aggresive drivers when biking ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:28:32,2023-04-06 13:30:49,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,1.20 mins,,,,,,,,,,,,,,Aggresive drivers when they were biking,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:28:55,2023-04-06 13:30:48,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers when they were biking ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:25:14,2023-04-06 13:28:55,172.58.225.114,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Cars beeping while we were biking and aggressive drivers. Roads are sometimes a little rocky.,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:03:48,2023-04-06 13:26:35,172.56.160.118,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Stopping by (i.e. on way home from work),Daily,Walk,,,,,,,,,,,,,,,No,1 - Strongly Agree,,Female,,,,,,,,,,,,,,,,65,
1.14288E+11,425087348,2023-04-06 13:23:54,2023-04-06 13:25:14,172.58.225.114,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 12:07:00,2023-04-06 13:23:54,172.58.224.44,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,,,,,,,,Transit Transfer/Going Home/Passing Through,,,This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:13:42,2023-04-06 13:17:30,174.204.130.96,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10030,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,,"Bx1,2",4 - Satisfied,No issues,,,,,,,,,,,To much traffic along Arthur Ave.,5 - Strongly Disagree,,,,,,,,,,,,,,,,,,,
1.14288E+11,425087348,2023-04-06 13:05:13,2023-04-06 13:10:20,174.197.131.166,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10462,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,Yes,6 - 10 minutes,Less than 1 block,No,1 hour 1 minute - 2 hours,Yes,Somewhere easy to access ,No, Nothing ,No problem ,4 - Disagree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,76,That the restaurant stands on the street take up parking spaces. 
1.14288E+11,425087348,2023-04-06 12:51:41,2023-04-06 13:10:08,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10454,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,25 minutes,"BX15, BX17",1 - Very dissatisfied,Other (please specify),No reliability in the schedule,,,,,,Yes,I don’t know because the space it’s limited and there are businesses located along Fordham,,,Traffic,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,91,The participant says the BX17 bus it’s the worst. The traffic along Fordham is horrible. 
1.14288E+11,425087348,2023-04-06 12:53:19,2023-04-06 13:05:13,174.197.131.166,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,,,,,,,,,,The streets and sidewalks have to many bump not wheelchair safe.,2 - Agree,Male,,,,,,,,,Black or African American,,,,,,,,0,Black own store in  the neighborhood
1.14288E+11,425087348,2023-04-06 12:18:43,2023-04-06 13:03:47,172.56.160.101,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10465,,,,Work,,,,,,,Daily,Personal Car,,,,,,Yes,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,No,Nothing,"Taxi and Uber don’t follow rules. And illegal mopeds go against one way, killings on morris park",5 - Strongly Disagree,Male,,,,,,,,,,,,,,"Other race, ethnicity or origin",,,30,"Biggest complaint is parking, spends a lot of money on metered parking when coming to work. "
1.14288E+11,425087348,2023-04-06 12:59:11,2023-04-06 13:02:02,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx12, Bx17, 36, Bx15, M15, Bx19",5 - Very satisfied,Waited too long for the bus,,,,,,,,,,,Bx19 has safety and security concerns due to smoking and drinking on the bus.     Overcrowding on the buses. ,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,52,Do add campaign reminding people smoking and gaping not allowed.
1.14288E+11,425087348,2023-04-06 12:50:35,2023-04-06 12:59:03,172.56.161.170,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10453,,,Medical,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,5 minutes ,N/A,,,,,,,,,,,,No car ,N/A,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,78,N/A
1.14288E+11,425087348,2023-04-06 12:45:51,2023-04-06 12:53:18,174.197.131.166,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10457,,,Medical,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,Bus was slow,,No,,,,,Yes,,,,The adapted,1 - Strongly Agree,,Female,,,,,,,,,,,,,,Prefer not to say,,72,None
1.14288E+11,425087348,2023-04-06 12:36:34,2023-04-06 12:51:41,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,5 minutes,"BX12, BX15",2 - Dissatisfied,Bus was slow,,,,,,,Yes,,,,Speeding vehicles.going school with the child is difficult because it’s not safe.,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,50,PS 32
1.14288E+11,425087348,2023-04-06 11:59:44,2023-04-06 12:50:40,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",6947,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,,,Yes,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,Some where easy to access ,No,Nothing  to far,Traffic along Arthur Ave and sidewalk to crowded.,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,64,
1.14288E+11,425087348,2023-04-06 11:39:22,2023-04-06 12:50:35,172.56.161.146,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,B15,3 - Neutral,Bus was too crowded,,,,,,,,,,N/A,Some people get mad at the bus driver when they don’t have change to pay the fair. That has caused fights.,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,39,N/A
1.14288E+11,425087348,2023-04-06 11:30:50,2023-04-06 12:45:51,174.197.131.166,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10520,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Dropped Off (Family/Friend),,None,3 - Neutral,Bus was slow,,Yes,More than 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,No,,Yes,The easy,Not enough parking ,2 - Agree,,Female,,,,,,,,,,,,White,,,,50,None
1.14288E+11,425087348,2023-04-06 12:26:17,2023-04-06 12:38:42,174.216.248.11,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10473,,,,Work,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,,,,,,,,Yes,,"So cross walks are unsafe, the street are crowded. no  bike lanes",2 - Agree,,Female,,,,,,,Asian,,,,,,,,,44,Bike lanes would be a big help. 
1.14288E+11,425087348,2023-04-06 12:31:26,2023-04-06 12:36:34,174.216.242.188,,,,,,10473,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,20 minutes ,,,,,Yes,6 - 10 minutes,3-5 blocks,No,31 minutes - 1 hour,Yes,,No,None,None,2 - Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,26,None
1.14288E+11,425087348,2023-04-06 12:10:23,2023-04-06 12:26:17,174.216.248.11,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10469,,,,,,Social/Recreational/Religious,,,,Stopping by (i.e. on way home from work),Monthly,Walk,,B12,4 - Satisfied,No issues,,Yes,More than 15 minutes,3-5 blocks,No,More than 2 hours,Yes,Don't know the location ,No,It to far,No,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,63,
1.14288E+11,425087348,2023-04-06 12:01:53,2023-04-06 12:23:16,174.216.242.188,,,,,,11105,Shopping/Dining/Visiting Business,,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,,,,,,No,5 minutes or less,1-2 blocks,No,21 - 30 minutes,Yes,187th Street towards Third Ave,Yes,None. Driving from Queens. But I also support bike lanes and Citibike in the area near Arthur Avenue.,Dangerous mopeds. They are reckless.,2 - Agree,Male,,,,,,,,,,,,,White,,,,55,We need more bike lanes in the area. 
1.14288E+11,425087348,2023-04-06 12:15:02,2023-04-06 12:20:05,174.216.214.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",6358,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",5 minutes or less,Yes,,,,NA,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,62,
1.14288E+11,425087348,2023-04-06 12:10:12,2023-04-06 12:18:42,172.56.161.45,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10520,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,Yes,11 - 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,Yes,Convenience ,"Yes, very congested! ",1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,53,
1.14288E+11,425087348,2023-04-06 11:38:55,2023-04-06 12:15:01,174.216.214.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx12 ,2 - Dissatisfied,No issues,,,,,,,,,,,Bx12 select buses don't stop at Fordham Rd and Arthur Ave which is not convenient because that is main stop. Bike lanes are not for this neighborhood because no space for cyclists to park. Electric bikes always run on sidewalks on Arthur Ave. ,3 - Neutral,,Female,,,,,,,,,,,,White,,,,60,
1.14288E+11,425087348,2023-04-06 11:38:57,2023-04-06 12:10:22,174.216.248.11,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,,Live Here,,,,,,,,,Daily,Personal Car,,,,,,Yes,More than 15 minutes,More than 5 blocks,,1 hour 1 minute - 2 hours,Yes,Where Belmont Municipal lot is,No,It to far,No,5 - Strongly Disagree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,0,"So the biggest concern on Arthur ave is the parking.182 going towards author is congested with to much traffic, shops, people crossing. Some one going to get hurt."
1.14288E+11,425087348,2023-04-06 12:07:30,2023-04-06 12:10:11,172.56.161.119,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",11467,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Bus,,15,1 - Very dissatisfied,Waited too long for the bus,,,,,,,Yes,,,,N/A,1 - Strongly Agree,,,,,,Prefer not to say,,,,,,,,,,Prefer not to say,,,
1.14288E+11,425087348,2023-04-06 11:43:19,2023-04-06 12:06:59,172.58.224.98,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,,Daily,Walk,5,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,67,
1.14288E+11,425087348,2023-04-06 11:59:04,2023-04-06 12:01:52,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,10,,,,,,,,,,Yes,,,,Slow buses for subway access,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,21,
1.14288E+11,425087348,2023-04-06 11:34:11,2023-04-06 11:59:04,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,Transit Transfer/Going Home/Passing Through,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,10 minutes ,BX15,2 - Dissatisfied,Bus was slow,,,,,,,Yes,,,,None,2 - Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,55,"The bus user says the buses take too long, the evening service it’s too bad, and the bus schedule it’s very inconsistent. Sometimes the buses several come at the same time. For example three buses then it takes long to wait for the bus."
1.14288E+11,425087348,2023-04-06 11:36:57,2023-04-06 11:43:19,172.58.224.203,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10461,,,,Work,,,,,,,Daily,Dropped Off (Family/Friend),15,,,,,Yes,6 - 10 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,No,"Cleanliness, security and reliability of buses. ",Parking is definitely a big issue. Only being able to pay for parking in 2 hour increments is very difficult. Parking enforcement can be be very ruthless.,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,36,
1.14288E+11,425087348,2023-04-06 11:30:32,2023-04-06 11:39:21,172.56.160.42,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10453,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Walk,,B12,4 - Satisfied,No issues,,,,,,,,,,,N/A,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,59,Is a great idea and I support it.
1.14288E+11,425087348,2023-04-06 11:37:21,2023-04-06 11:38:55,174.216.214.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,4 - Satisfied,,,,,,,,,,,,NA,1 - Strongly Agree,,Female,,,,,,,Asian,,,,,,,,,80,"This neighborhood is great! I have no problems or concerns related to transportation in this area. My granddaughter and I take buses to Manhattan, and they are pretty convenient."
1.14288E+11,425087348,2023-04-06 11:33:59,2023-04-06 11:37:25,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10460,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Stopping by (i.e. on way home from work),Daily,Walk,,"Bx15, W60, Bx9, Bx17",3 - Neutral,,,No,,,,,,,,,E184th Street has a lot of cars on the sidewalk makes it difficult to walk,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,63,They should put a busway
1.14288E+11,425087348,2023-04-06 11:24:39,2023-04-06 11:34:11,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,10 minutes ,"BX15, BX9",4 - Satisfied,Bus was slow,,,,,,,,,,,None,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,46,The traffic is a lot on Fordham Rd. 
1.14288E+11,425087348,2023-04-06 11:30:46,2023-04-06 11:33:59,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10462,,Live Here,,Work,,,,,,Stopping by (i.e. on way home from work),Daily,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, off street (in a lot/garage)",,No,,No,I drive around the Bronx. I'm not going to take buses or bikes. ,"Leave the street as it is, with the bike lanes and bus lanes we have less street in the Bronx.",3 - Neutral,,Female,,,,,,,,Black or African American,,,,,,,,32,
1.14288E+11,425087348,2023-04-06 11:16:33,2023-04-06 11:24:38,174.216.242.188,,,,,,10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,5 minutes,"BX42, BX15, BX45",4 - Satisfied,Bus was slow,,,,,,,,,,,None,2 - Agree,,Female,,,,,,,,,,,,White,,,,65,
1.14277E+11,425087348,2023-03-24 15:44:24,2023-03-24 15:54:48,174.216.244.190,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,Community Resource,,Biking,Stopping by (i.e. on way home from work),Weekly,Bike,,,,,,,,,,,,,,,Aggressive drivers ,2 - Agree,,Female,,,,,,,,Black or African American,,,,,,,,58,Need more enforcement to make sure cyclists or vehicles to use bus lanes
1.14277E+11,425087348,2023-03-24 14:59:07,2023-03-24 15:53:06,172.58.224.70,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,,Live Here,,,,,,,,,Daily,Walk,10,,,,,,,,,,,,,,Bus stops aren’t close to arthur Ave and usually it’s a long walk (Bx15) ,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,65,
1.14277E+11,425087348,2023-03-24 15:34:14,2023-03-24 15:49:13,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10471,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,15 minutes,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know,Yes,If they have better public transportation I would take the bus instead.,None,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,66,
1.14277E+11,425087348,2023-03-24 15:34:04,2023-03-24 15:39:36,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10471,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,E187th St and Arthur Ave down by Mt Carmel ,Yes,Direct route buses would be better. The buses take longer to drive than east to west transit. ,"Vehicle behavior, and many searching for parking otherwise it's easy getting here ",1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,62,"Parking lot, option for more parking in the area, usually stays for a couple of hours, perhaps another parking lot with paid meters. Today was easy to find a spot. "
1.14277E+11,425087348,2023-03-24 15:28:26,2023-03-24 15:34:13,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",11542,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Personal Car,45 minutes,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know,,No. Because it’s far. I live in Glencove,None,2 - Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,75,
1.14277E+11,425087348,2023-03-24 15:22:08,2023-03-24 15:31:49,174.216.244.190,,,,,,10459,,,,Work,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Bus,,Bx19,4 - Satisfied,Bus was slow,,,,,,,,,,,No,2 - Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,64,
1.14277E+11,425087348,2023-03-24 14:58:31,2023-03-24 15:22:08,174.216.244.190,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10701,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Personal Car,,,,,,Yes,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,No,,No,,Traffic to get to this area,2 - Agree,,Female,,,,,,,,,,,,White,,,,32,
1.14277E+11,425087348,2023-03-24 15:06:49,2023-03-24 15:13:19,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",11557,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,45 minutes,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know,No,I live on Long Island - Hewlett,"Traffic, double parking",2 - Agree,Male,,,,,,,,,,,,,White,,,,69,Coming from such long distance I really need to drive here to Arthur Avenue
1.14277E+11,425087348,2023-03-24 15:07:22,2023-03-24 15:09:59,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",11510,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,Yes,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,No,Hands a disability it is easier to drive ,Getting onto Arthur Avenue. ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,85,Improvements to sidewalk for those with disability but there's limited space. 
